Group,Condition,Id,Sentence,Distractor
D,object-extracted,23,The tenant who the landlord despised phoned the newspaper to complain.,x-x-x behave dad yeah simulate crescent coasts miss ourselves sir skeleton.
A,subject-extracted,24,The writer who complimented the photographer worked for a national magazine.,x-x-x afford fun protectorate etc consequently regret sir oh findings diseases.
B,object-extracted,24,The writer who the photographer complimented worked for a national magazine.,x-x-x gotten fun etc consequently protectorate regret sir oh findings diseases.
C,subject-extracted,10,The editor who angered the writer fired the entire staff.,x-x-x afford luck batters etc metres mines jack plenty agree.
D,object-extracted,10,The editor who the writer angered fired the entire staff.,x-x-x invest luck etc metres batters mines jack plenty agree.
A,subject-extracted,11,The gentleman who accompanied the author wrote stories every day.,x-x-x afterward pre composition loss toward homes compete super yeah.
B,object-extracted,11,The gentleman who the author accompanied wrote stories every day.,x-x-x forecasts pre loss toward composition homes compete super yeah.
C,subject-extracted,14,The historian who criticised the freshman felt really bad afterward.,x-x-x adulthood sale escalating jack secondly okay search trip federally.
D,object-extracted,14,The historian who the freshman criticised felt really bad afterward.,x-x-x shortages sale jack secondly escalating okay search trip federally.
A,subject-extracted,16,The mechanic who divorced the waitress cheated on her often.,x-x-x polymers yes liberals etc ratified museums hall hour click.
B,object-extracted,16,The mechanic who the waitress divorced cheated on her often.,x-x-x escorted yes etc ratified liberals museums hall hour click.
C,subject-extracted,20,The professor who criticised the student blushed and turned away.,x-x-x expecting mid freshwater mom located nebulae jack domain yeah.
D,object-extracted,20,The professor who the student criticised blushed and turned away.,x-x-x preparing mid mom located freshwater nebulae jack domain yeah.
A,subject-extracted,21,The quarterback who hated the linebacker played a practical joke.,x-x-x researching glad porch web peacefully global buy districts cops.
B,object-extracted,21,The quarterback who the linebacker hated played a practical joke.,x-x-x nonetheless glad web peacefully porch global buy districts cops.
C,subject-extracted,19,The prisoner who attacked the guard provoked the riot.,x-x-x tolerate nice printing glad solve latitude dad owes.
D,object-extracted,19,The prisoner who the guard attacked provoked the riot.,x-x-x secondly nice glad solve printing latitude dad owes.
